logged_at,route,id,frame_index,timestamp,visibility,nose_x,nose_y,nose_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,brightness,baseline_signature,baseline_brightness,z_threshold,shoulder_threshold,round_shoulder_ratio,round_shoulder_z_threshold,dark_mode,dark_abs_threshold,dark_relative_ratio
2026-05-13T05:47:42.277Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,5,2026-05-13T05:47:38.206Z,0.998536,0.54669,0.560331,-0.135216,0.606865,0.511163,-0.084067,0.453704,0.53555,-0.093269,0.755183,0.831795,-0.053823,0.30972,0.877047,-0.070884,132,,,,,,,,,
2026-05-13T05:47:42.277Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,6,2026-05-13T05:47:39.200Z,0.99845,0.546899,0.562765,-0.131659,0.605558,0.51188,-0.077187,0.453474,0.535368,-0.089211,0.746058,0.812587,-0.044002,0.308487,0.878027,-0.066451,132,,,,,,,,,
2026-05-13T05:47:42.277Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,7,2026-05-13T05:47:40.198Z,0.998534,0.543347,0.564185,-0.129491,0.604199,0.513738,-0.07724,0.44893,0.537774,-0.087386,0.746698,0.833264,-0.046193,0.307846,0.878387,-0.065425,132,,,,,,,,,
2026-05-13T05:47:42.277Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,8,2026-05-13T05:47:41.206Z,0.998394,0.544195,0.564665,-0.133436,0.603671,0.514062,-0.07819,0.452525,0.534458,-0.088117,0.742011,0.829537,-0.045633,0.308259,0.875643,-0.062928,133,,,,,,,,,
2026-05-13T05:47:42.277Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,9,2026-05-13T05:47:42.191Z,0.998411,0.545838,0.563051,-0.132518,0.605908,0.514261,-0.077596,0.45352,0.531469,-0.087674,0.747617,0.834293,-0.045613,0.307019,0.872929,-0.063405,133,,,,,,,,,
2026-05-13T05:47:43.216Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,0,2026-05-13T05:47:34.196Z,0.998915,0.552201,0.559088,-0.132688,0.607003,0.511137,-0.079976,0.45813,0.534925,-0.089274,0.754941,0.835858,-0.050968,0.319421,0.872152,-0.066581,133,ca844879b7a9c84ba0a3b9956be8071fef1b8c13bc50585bdac03f9fd1f85913,132,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:43.216Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,1,2026-05-13T05:47:35.202Z,0.998823,0.553001,0.560931,-0.13327,0.608631,0.511913,-0.080804,0.459577,0.534252,-0.09009,0.755297,0.827519,-0.049412,0.312921,0.873047,-0.065996,132,ca844879b7a9c84ba0a3b9956be8071fef1b8c13bc50585bdac03f9fd1f85913,132,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:43.216Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,2,2026-05-13T05:47:36.192Z,0.998612,0.550733,0.561911,-0.14062,0.607311,0.513595,-0.086878,0.458296,0.535938,-0.095355,0.754845,0.8261,-0.053201,0.310988,0.876367,-0.06842,132,ca844879b7a9c84ba0a3b9956be8071fef1b8c13bc50585bdac03f9fd1f85913,132,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:43.216Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,3,2026-05-13T05:47:37.198Z,0.998465,0.548391,0.561985,-0.134994,0.605397,0.51124,-0.081784,0.455484,0.536388,-0.08993,0.756257,0.820375,-0.048178,0.312048,0.877128,-0.064737,132,ca844879b7a9c84ba0a3b9956be8071fef1b8c13bc50585bdac03f9fd1f85913,132,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:43.216Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,4,2026-05-13T05:47:38.206Z,0.998536,0.54669,0.560331,-0.135216,0.606865,0.511163,-0.084067,0.453704,0.53555,-0.093269,0.755183,0.831795,-0.053823,0.30972,0.877047,-0.070884,132,ca844879b7a9c84ba0a3b9956be8071fef1b8c13bc50585bdac03f9fd1f85913,132,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:43.216Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,5,2026-05-13T05:47:39.200Z,0.99845,0.546899,0.562765,-0.131659,0.605558,0.51188,-0.077187,0.453474,0.535368,-0.089211,0.746058,0.812587,-0.044002,0.308487,0.878027,-0.066451,132,ca844879b7a9c84ba0a3b9956be8071fef1b8c13bc50585bdac03f9fd1f85913,132,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:43.216Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,6,2026-05-13T05:47:40.198Z,0.998534,0.543347,0.564185,-0.129491,0.604199,0.513738,-0.07724,0.44893,0.537774,-0.087386,0.746698,0.833264,-0.046193,0.307846,0.878387,-0.065425,132,ca844879b7a9c84ba0a3b9956be8071fef1b8c13bc50585bdac03f9fd1f85913,132,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:43.216Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,7,2026-05-13T05:47:41.206Z,0.998394,0.544195,0.564665,-0.133436,0.603671,0.514062,-0.07819,0.452525,0.534458,-0.088117,0.742011,0.829537,-0.045633,0.308259,0.875643,-0.062928,133,ca844879b7a9c84ba0a3b9956be8071fef1b8c13bc50585bdac03f9fd1f85913,132,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:43.216Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,8,2026-05-13T05:47:42.191Z,0.998411,0.545838,0.563051,-0.132518,0.605908,0.514261,-0.077596,0.45352,0.531469,-0.087674,0.747617,0.834293,-0.045613,0.307019,0.872929,-0.063405,133,ca844879b7a9c84ba0a3b9956be8071fef1b8c13bc50585bdac03f9fd1f85913,132,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:43.216Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,9,2026-05-13T05:47:43.202Z,0.998149,0.54612,0.561911,-0.13102,0.602843,0.514531,-0.07271,0.454276,0.531541,-0.08638,0.740593,0.832085,-0.039003,0.307116,0.873658,-0.06041,133,ca844879b7a9c84ba0a3b9956be8071fef1b8c13bc50585bdac03f9fd1f85913,132,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:44.221Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,0,2026-05-13T05:47:35.202Z,0.998823,0.553001,0.560931,-0.13327,0.608631,0.511913,-0.080804,0.459577,0.534252,-0.09009,0.755297,0.827519,-0.049412,0.312921,0.873047,-0.065996,132,ca844879b7a9c84ba0a3b9956be8071fef1b8c13bc50585bdac03f9fd1f85913,132,0.07,0.05,0.12,0.05,false,60,0.5
